ts,hour,total,census,l1,l2,l3,l4,l5,tri_coverage,arrivals,arrival_present_1h,waitBed,waitICU,D_board,resus,maxLOS_h,awt_curr_min,board_q1_min,board_q3_min,board_max_h,Na,cap_sum,cap_source,src_gap,acuity,OCCUPANCY,EDWIN,NEDOCS,READI,READI_BR,READI_PR,READI_AR,NEDOCS_t_total,NEDOCS_t_board,NEDOCS_t_resus,NEDOCS_t_longest_admit,NEDOCS_E_h
2020-06-01 00:00:00,0,21,21,0.0,4.0,17.0,0.0,0.0,1.0,8,7,6,1,7,1,20.6,133.0,101.0,424.0,9.567,3.0,6.65,roster,0,67.0,52.5,0.6768,54.38,5.0334,0.525,1.0526,3.1905,45.04,6.08,13.4,9.86,10.6
2020-06-01 01:00:00,1,21,21,0.0,4.0,15.0,1.0,1.0,1.0,5,5,6,0,6,0,21.6,195.5,161.0,484.0,10.567,3.0,6.65,roster,0,64.0,52.5,0.6275,41.51,3.8914,0.525,0.7519,3.0476,45.04,5.21,0.0,11.25,12.1
2020-06-01 02:00:00,2,19,19,1.0,5.0,12.0,1.0,0.0,1.0,4,4,7,0,7,0,22.6,253.0,217.0,544.0,11.567,3.0,6.65,roster,0,63.0,47.5,0.6364,39.48,3.5695,0.475,0.6015,3.3158,40.75,6.08,0.0,12.65,13.6
2020-06-01 03:00:00,3,22,22,2.0,5.0,13.0,2.0,0.0,1.0,3,3,9,0,9,0,23.6,281.0,176.0,318.0,12.567,3.0,6.65,roster,0,73.0,55.0,0.7849,42.4,3.3219,0.55,0.4511,3.3182,47.19,7.81,0.0,7.39,7.95
2020-06-01 04:00:00,4,25,25,2.0,6.0,14.0,3.0,0.0,1.0,3,3,10,0,10,0,24.6,339.0,177.0,378.0,13.567,3.0,6.65,roster,0,82.0,62.5,0.9111,51.1,3.5297,0.625,0.4511,3.28,53.62,8.68,0.0,8.79,9.45
2020-06-01 05:00:00,5,27,27,2.0,6.0,16.0,3.0,0.0,1.0,2,2,11,0,11,0,25.6,397.0,229.0,438.0,14.567,3.0,6.65,roster,0,88.0,67.5,1.0115,57.65,3.1802,0.675,0.3008,3.2593,57.92,9.55,0.0,10.18,10.95
2020-06-01 06:00:00,6,26,26,2.0,6.0,16.0,2.0,0.0,1.0,1,1,11,0,11,0,26.6,457.0,289.0,498.0,15.567,3.0,6.65,roster,0,86.0,65.0,0.9885,56.9,2.6474,0.65,0.1504,3.3077,55.77,9.55,0.0,11.58,12.45
2020-06-01 07:00:00,7,27,27,2.0,7.0,17.0,1.0,0.0,1.0,6,5,11,0,11,0,27.6,517.0,349.0,558.0,16.567,3.0,6.65,roster,0,91.0,67.5,1.046,60.44,4.8091,0.675,0.7519,3.3704,57.92,9.55,0.0,12.97,13.95
2020-06-01 08:00:00,8,26,26,2.0,7.0,17.0,0.0,0.0,1.0,5,5,11,0,11,0,23.85,577.0,409.0,618.0,17.567,3.0,6.3,roster,0,89.0,65.0,1.023,59.69,4.9417,0.65,0.7937,3.4231,55.77,9.55,0.0,14.37,15.45
2020-06-01 09:00:00,9,23,23,0.0,6.0,16.0,1.0,0.0,1.0,8,9,3,1,4,1,24.85,800.5,637.0,1114.0,18.567,3.0,6.3,roster,0,74.0,57.5,0.6852,72.11,6.4463,0.575,1.4286,3.2174,49.33,3.47,13.4,25.9,27.85
